filtro,ruido,snr_in_alvo,snr_out_db,delta_snr_db,prd_pct,corr
Notch 60Hz,60hz,0,34.57,34.57,1.87,0.999
Notch 60Hz,60hz,6,34.57,28.57,1.87,0.999
Notch 60Hz,60hz,12,34.57,22.57,1.87,0.999
Notch 60Hz,60hz,18,34.57,16.57,1.87,0.999
Passa-alta 0.5Hz,bw,0,12.85,18.64,22.77,0.975
Passa-alta 0.5Hz,bw,6,18.85,18.64,11.41,0.994
Passa-alta 0.5Hz,bw,12,24.85,18.64,5.72,0.998
Passa-alta 0.5Hz,bw,18,30.85,18.64,2.87,1.0
Passa-baixa FIR 40Hz,ma,0,0.08,0.09,99.08,0.467
Passa-baixa FIR 40Hz,ma,6,6.02,0.03,49.99,0.722
Passa-baixa FIR 40Hz,ma,12,11.8,-0.19,25.71,0.897
Passa-baixa FIR 40Hz,ma,18,17.01,-0.98,14.11,0.966
Passa-baixa FIR 40Hz,em,0,-0.01,-0.0,100.14,0.462
Passa-baixa FIR 40Hz,em,6,5.93,-0.06,50.52,0.719
Passa-baixa FIR 40Hz,em,12,11.71,-0.28,25.97,0.895
Passa-baixa FIR 40Hz,em,18,16.94,-1.05,14.23,0.965
